source,target,weight
2,32,10
10,3,10
25,3,10
12,3,10
3,37,10
14,5,10
6,2,5
6,32,5
13,6,10
22,7,10
12,8,10
17,8,10
8,33,5
19,8,10
8,10,5
8,4,5
8,22,5
13,8,10
9,33,5
9,17,5
10,12,10
10,23,10
10,37,5
10,32,10
10,17,5
10,0,5
10,19,10
10,2,5
11,30,5
11,33,5
11,36,5
11,31,5
11,37,5
11,32,5
11,18,5
11,27,10
11,21,5
12,37,10
12,13,5
12,4,5
12,32,5
12,33,5
12,22,5
12,14,10
12,0,5
12,17,10
12,19,10
13,1,5
13,10,5
13,25,10
13,19,10
13,33,5
13,32,10
13,0,5
13,17,10
13,22,5
13,3,5
13,11,5
13,2,5
14,32,10
14,8,5
14,11,5
14,37,10
14,10,5
14,22,5
14,17,10
14,33,10
14,13,5
14,0,5
14,3,5
14,25,10
14,4,5
14,19,10
14,2,5
15,40,5
15,36,10
15,10,5
15,30,10
15,26,10
15,21,10
15,20,10
15,16,5
17,32,10
17,11,5
17,2,5
17,4,5
17,7,5
17,0,5
17,1,5
17,19,5
17,25,10
17,22,5
17,3,5
17,33,5
19,2,5
19,32,5
19,22,5
19,0,5
19,33,10
19,25,10
19,3,5
19,11,5
20,30,10
20,36,5
20,16,5
20,26,10
20,19,5
20,21,10
21,2,5
22,2,5
23,36,10
23,40,5
24,55,10
24,29,10
24,52,10
24,41,5
24,17,5
25,10,5
25,33,10
25,37,10
25,6,5
25,22,5
25,7,5
25,0,5
25,2,5
25,12,5
25,8,5
26,23,5
26,40,5
26,36,5
26,16,5
26,35,10
26,30,10
26,21,5
27,16,5
28,47,5
28,1,5
29,31,10
29,55,10
29,52,10
29,41,10
30,16,5
30,35,10
30,39,10
30,36,10
30,21,5
31,52,5
31,54,5
31,55,10
31,24,5
31,13,5
31,22,5
31,32,5
31,2,5
31,3,5
32,1,5
32,37,10
32,25,5
32,8,5
32,3,5
32,0,5
32,22,5
33,0,5
33,22,5
33,37,5
34,45,10
34,6,5
34,55,5
34,24,5
34,29,5
34,41,5
34,18,5
34,12,5
34,2,5
34,10,5
34,19,5
34,14,5
34,3,5
35,40,5
35,36,5
35,27,5
35,21,5
35,16,5
35,20,5
35,15,5
36,40,10
36,16,5
37,2,5
37,4,5
37,22,5
37,0,5
37,7,5
37,8,5
37,17,5
38,14,5
38,11,5
38,12,5
38,19,5
38,22,5
38,24,5
39,36,5
41,55,10
41,54,10
41,52,5
42,0,5
42,32,5
42,29,5
42,24,5
42,41,5
42,4,5
42,2,5
42,22,5
43,55,5
43,24,5
43,18,5
43,29,5
43,41,5
43,22,5
43,3,5
44,18,5
45,3,5
45,33,5
45,19,5
45,53,10
45,49,5
45,43,5
45,50,10
45,51,10
45,46,5
45,48,5
45,54,5
45,52,5
45,25,5
45,13,5
45,7,5
45,8,5
45,29,5
45,9,5
45,31,5
45,6,5
45,55,5
45,18,5
45,41,5
45,44,5
45,38,5
45,24,5
45,22,5
45,0,5
46,22,5
46,18,5
46,55,5
46,24,5
46,29,5
46,8,5
46,10,5
48,38,5
48,52,5
48,0,5
48,22,5
48,3,5
48,41,5
48,24,5
48,29,5
49,17,5
49,22,5
49,2,5
49,0,5
49,3,5
49,29,5
49,24,5
49,41,5
49,18,5
50,29,5
50,54,5
50,41,5
50,55,5
50,52,5
50,24,5
52,55,10
53,0,5
53,24,5
53,2,5
53,19,5
53,3,5
53,22,5
53,32,5
53,10,5
53,41,5
53,8,5
53,12,5
54,29,5
54,55,10
54,24,5
19,27,1
27,38,1
27,45,1
13,5,1
20,5,1
22,5,1
32,5,1
37,5,1
13,20,1
13,37,1
20,22,1
20,32,1
20,37,1
13,28,1
5,8,1
12,5,1
25,5,1
45,5,1
12,45,1
37,45,1
13,27,1
13,34,1
13,35,1
13,38,1
25,27,1
25,34,1
25,35,1
25,38,1
27,34,1
34,35,1
34,38,1
35,38,1
27,8,1
43,8,1
10,22,1
10,27,1
10,43,1
13,43,1
13,53,1
14,27,1
14,43,1
14,53,1
22,27,1
27,32,1
27,37,1
27,43,1
27,53,1
32,43,1
37,43,1
37,53,1
43,53,1
34,8,1
48,8,1
10,45,1
10,48,1
13,46,1
13,48,1
14,45,1
