from,to
Lohuis,Set-up 65
Lohuis,Talent Team Papendal
Lohuis,Eurosped Almelo
Lohuis,Coolen Alterno
Lohuis,USC Muenster
Lohuis,NLD
Todorova,RC Cannes
Todorova,Volero Le Cannet
Todorova,Volero Zuerich
Todorova,Le Cannet Volley Ball
Todorova,SmAesch Pfeffingen
Todorova,VC Maritza
Todorova,BU
Timmerman,Talentteam Papendal
Timmerman,Alterno Apeldoorn
Timmerman,Eurosped Twente
Timmerman,Ladies in Black Aachen
Timmerman,NLD
Kohn,VfB Ulm
Kohn,Olympiastützpunkt
Kohn,Bundesstützpunkt
Kohn,DE
Van de Vyver,Asterix Kieldrecht
Van de Vyver,RC Cannes
Van de Vyver,Il Bisonte Firenze
Van de Vyver,Calcit Ljubljana
Van de Vyver,Rote Raben Vilsbiburg
Van de Vyver,CSM Targoviste
Van de Vyver,BE
Nowicka,Grot Bundowlani Lodz
Nowicka,BKS Profi Credit Bielsko-Biala
Nowicka,KS Palac Bydgoszcz U20
Nowicka,SMS PZPS Szczyrk
Nowicka,PO
Lee,Kurobe AquaFairies
Lee,Beylikduezue
Lee,Imoco Volley Conegliano
Lee,Penne State University
Lee,USA
Palleres,Banca Valsabbina Millenium Brescia
Palleres,Dresdner SC 1898
Palleres,Bosca San Bernardo Cuneo
Palleres,Saugella Team Monza
Palleres,Delta Informatica Trentino
Palleres,Geovillage Hermanea Olbia
Palleres,CV Barcelona
Palleres,ESP
Jasper,VfB Suhl Lotto
Jasper,VC Sneek
Jasper,NLD
Dornheim,Allianz MTV Stuttgart II
Dornheim,Bundesstützpunkt
Dornheim,DE
Rivers,University of Alabama
Rivers,Beziers Angels
Rivers,Luka Bar (MNE)
Rivers,USA
Berger,FV Tübingen
Berger,BSP MTV Stuttgart
Berger,VCO Berlin
Berger,DE
Koskelo,OK Nova KBM Branik
Koskelo,LP Viesti
Koskelo,LP Kangasala
Koskelo,Haemeenlinnan Lentopallokerho
Koskelo,Kimmo
Koskelo,Someron Pallo
Koskelo,FIN
Grundt,Jugend MTV Stuttgart
Grundt,Bundesstützpunkt
Grundt,DE
