id,name,type,birth,age,position,country
Lohuis,Juliet Lohuis,0,1,2,0,1
Set-up 65,Set-up 65,1,,,,
Talent Team Papendal,Talent Team Papendal,1,,,,
Eurosped Almelo,Eurosped Almelo,1,,,,
Coolen Alterno,Coolen Alterno,1,,,,
USC Muenster,USC Muenster,1,,,,
MTV Stuttgart,MTV Stuttgart,1,,,,
Todorova,Mira Todorova,0,0,3,0,2
RC Cannes,RC Cannes,1,,,,
Volero Le Cannet,Volero Le Cannet,1,,,,
Volero Zuerich,Volero Zuerich,1,,,,
Le Cannet Volley Ball,Le Cannet Volley Ball,1,,,,
Sm'Aesch Pfeffingen,Sm'Aesch Pfeffingen,1,,,,
VC Maritza,VC Maritza,1,,,,
Timmerman,Eline Timmerman,0,1,1,0,1
Talentteam Papendal,Talentteam Papendal,1,,,,
Alterno Apeldoorn,Alterno Apeldoorn,1,,,,
Eurosped Twente,Eurosped Twente,1,,,,
Ladies in Black Aachen,Ladies in Black Aachen,1,,,,
Kohn,Hannah Kohn,0,3,0,1,0
VfB Ulm,VfB Ulm,1,,,,
Olympiastützpunkt Stuttgart,Olympiastützpunkt Stuttgart,1,,,,
Bundesstützpunkt Stuttgart,Bundesstützpunkt Stuttgart,1,,,,
Van de Vyver,Ilka Van de Vyver,0,0,3,1,2
Asterix Kieldrecht,Asterix Kieldrecht,1,,,,
Il Bisonte Firenze,Il Bisonte Firenze,1,,,,
Calcit Ljubljana,Calcit Ljubljana,1,,,,
Rote Raben Vilsbiburg,Rote Raben Vilsbiburg,1,,,,
CSM Targoviste,CSM Targoviste,1,,,,
Nowicka,Julia Nowicka,0,1,1,1,3
Grot Bundowlani Lodz,Grot Bundowlani Lodz,1,,,,
BKS Profi Credit Bielsko-Biala,BKS Profi Credit Bielsko-Biala,1,,,,
KS Palac Bydgoszcz U20,KS Palac Bydgoszcz U20,1,,,,
SMS PZPS Szczyrk,SMS PZPS Szczyrk,1,,,,
Lee,Simone Lee,0,1,2,2,4
Kurobe AquaFairies,Kurobe AquaFairies,1,,,,
Beylikduezue,Beylikduezue,1,,,,
Imoco Volley Conegliano,Imoco Volley Conegliano,1,,,,
Penne State University,Penne State University,1,,,,
Palleres,Maria Segura Palleres,0,0,3,2,5
Banca Valsabbina Millenium Brescia,Banca Valsabbina Millenium Brescia,1,,,,
Dresdner SC 1898,Dresdner SC 1898,1,,,,
Bosca San Bernardo Cuneo,Bosca San Bernardo Cuneo,1,,,,
Saugella Team Monza,Saugella Team Monza,1,,,,
Delta Informatica Trentino,Delta Informatica Trentino,1,,,,
Geovillage Hermanea Olbia,Geovillage Hermanea Olbia,1,,,,
CV Barcelona,CV Barcelona,1,,,,
Jasper,Hester Jasper,0,3,1,2,1
VfB Suhl Lotto Thüringen,VfB Suhl Lotto Thüringen,1,,,,
VC Sneek,VC Sneek,1,,,,
Dornheim,Helena Dornheim,0,3,0,2,0
Allianz MTV Stuttgart II,Allianz MTV Stuttgart II,1,,,,
Rivers,Krystal Rivers,0,0,3,3,4
University of Alabama,University of Alabama,1,,,,
Beziers Angels,Beziers Angels,1,,,,
Luka Bar (MNE),Luka Bar (MNE),1,,,,
Berger,Lara Berger,0,3,0,3,0
FV Tübingen Modell,FV Tübingen Modell,1,,,,
BSP MTV Stuttgart,BSP MTV Stuttgart,1,,,,
VCO Berlin,VCO Berlin,1,,,,
Koskelo,Roosa Koskelo,0,0,3,4,6
OK Nova KBM Branik,OK Nova KBM Branik,1,,,,
LP Viesti,LP Viesti,1,,,,
LP Kangasala,LP Kangasala,1,,,,
Haemeenlinnan Lentopallokerho,Haemeenlinnan Lentopallokerho,1,,,,
Kimmo,Kimmo,1,,,,
Someron Pallo,Someron Pallo,1,,,,
Grundt,Lena Grundt,0,3,0,4,0
Jugend MTV Stuttgart,Jugend MTV Stuttgart,1,,,,
